run,alpha,beta,max_z,min_z,z0,z1
Dropping_ball,drop_100,3.350146770477295,0.3870869278907776,1.5110479593276978,-1.3291822671890259,1.2972475290298462,-1.3291822671890259
Dropping_ball,drop_100,1.1388369798660278,0.22594431042671204,0.847878098487854,-2.300530195236206,-2.2336771488189697,0.847878098487854
Dropping_ball,drop_100,0.8662387728691101,0.3283887505531311,1.5126090049743652,-1.0766029357910156,-0.5376697182655334,1.5126090049743652
Dropping_ball,drop_100,5.118280410766602,2.903702974319458,2.5274417400360107,-1.2282564640045166,2.5274417400360107,-1.2282564640045166
Dropping_ball,drop_100,0.3494175672531128,-0.27922824025154114,0.9709550142288208,-1.5939244031906128,0.8962514400482178,-1.5939244031906128
Dropping_ball,drop_100,0.1928691416978836,1.411250114440918,1.4383600950241089,-1.025188684463501,-0.989961564540863,1.4383600950241089
Dropping_ball,drop_100,16.446008682250977,-2.511516809463501,0.8287516236305237,-1.7065235376358032,-0.4347815215587616,-1.7065235376358032
Dropping_ball,drop_100,0.20624032616615295,1.7234352827072144,0.2528579831123352,-1.1321592330932617,-1.0674176216125488,0.2528579831123352
Dropping_ball,drop_100,0.5261002779006958,1.8840365409851074,0.9155585765838623,-1.168605089187622,-1.1173536777496338,0.8662564754486084
Dropping_ball,drop_100,0.321533203125,0.6038515567779541,1.4904285669326782,-1.1394799947738647,-0.8217076063156128,1.4904285669326782
Dropping_ball,drop_150,1.249803900718689,0.5068888068199158,1.3094384670257568,-1.3579237461090088,1.2630457878112793,-1.3579237461090088
Dropping_ball,drop_150,-0.13887593150138855,-4.655237197875977,1.7265205383300781,-0.8898334503173828,-0.6887121200561523,1.7265205383300781
Dropping_ball,drop_150,0.5266489386558533,-5.228171348571777,1.7803794145584106,-0.7964619398117065,-0.7953141927719116,1.7803794145584106
Dropping_ball,drop_150,0.45053303241729736,-4.188986301422119,0.4963906407356262,-1.7498077154159546,0.41259413957595825,-1.7498077154159546
Dropping_ball,drop_150,1.4889440536499023,-1.3516204357147217,0.7451927065849304,-1.7790879011154175,0.44011086225509644,-1.7790879011154175
Dropping_ball,drop_150,0.6918615698814392,0.2048618197441101,1.2587931156158447,-0.8710665702819824,0.6336351037025452,1.2587931156158447
Dropping_ball,drop_150,1.5741575956344604,-0.539141833782196,1.7080435752868652,-0.7924474477767944,-0.6121463775634766,1.7080435752868652
Dropping_ball,drop_150,0.42183253169059753,0.07543642818927765,0.8697167634963989,-1.632641315460205,0.5499166250228882,-1.632641315460205
Dropping_ball,drop_150,1.7624139785766602,-4.096662521362305,1.1362520456314087,-1.62738835811615,0.7863394021987915,-1.62738835811615
Dropping_ball,drop_150,1.2820613384246826,-1.4266774654388428,1.4309459924697876,-1.4653342962265015,1.3284558057785034,-1.4653342962265015
Dropping_ball,drop_50,3.3812875747680664,1.1406574249267578,0.929375410079956,-1.4724371433258057,0.8183181285858154,-1.4724371433258057
Dropping_ball,drop_50,1.9957093000411987,0.6808016300201416,0.1719154417514801,-1.3021007776260376,0.1719154417514801,-1.3021007776260376
Dropping_ball,drop_50,3.311569929122925,-0.27283477783203125,0.8692722916603088,-1.6495438814163208,0.7776699662208557,-1.6495438814163208
Dropping_ball,drop_50,4.343118667602539,0.8507499694824219,1.3973188400268555,-1.0780019760131836,1.3303804397583008,-1.0780019760131836
