dynamics,setting,param,gt_mean,est_mean,abs_err_mean,abs_err_std,rel_err_mean,n
dropped_ball,large,g,9.80665,9.924579620361328,0.17642596618652356,0.2261487585317617,0.017990441810885934,5
dropped_ball,medium,g,9.80665,10.057236099243164,0.4523528729248046,0.5491296169661809,0.04612715585038641,5
dropped_ball,small,g,9.80665,9.450203132629394,0.4725354177856442,0.7205068632163479,0.04818520267174067,5
free_fall,mousepad,g,9.80665,7.820344352722168,3.2830510122680665,3.37145442851806,0.3347780345209209,5
free_fall,table,g,9.80665,9.770667839050294,0.15208870513916004,0.10859976264151876,0.01550873184396396,5
free_fall,tennis,g,9.80665,9.41544418334961,0.5283038769531249,0.4431713488958147,0.05387200287027045,5
led,led_10s,decay,0.46,0.0,0.4600000000000001,5.551115123125783e-17,0.9999999997826088,5
led,led_2s,decay,2.3,0.2,2.1,0.4,0.9130434782211722,5
led,led_5s,decay,0.92,0.0,0.9200000000000002,1.1102230246251565e-16,0.9999999998913045,5
pendulum,pendulum_150,length_m,1.5,16.262884494429905,15.362884494429903,12.81766918978579,10.241922995603806,5
pendulum,pendulum_150,damping,-0.05924256555362806,-0.8318596482276917,0.7726170826740636,0.3362807035446167,13.04158714515005,5
pendulum,pendulum_45,length_m,0.45,60.85620378470681,60.40620378470679,42.64072036164549,134.2360083806293,5
pendulum,pendulum_45,damping,-0.05924256555362806,-0.7856248617172241,0.7263822961635961,0.19974021185386798,12.26115527154101,5
pendulum,pendulum_90,length_m,0.9,50.76988587387553,49.86988587387553,0.6466111774096264,55.410984298149366,5
pendulum,pendulum_90,damping,-0.05924256555362806,-0.3057844161987305,0.2465418506451024,0.027907283439240593,4.1615660619182515,5
sliding_block,high,angle_deg,30.0,30.0,0.0,0.0,0.0,5
sliding_block,high,friction,0.20757074238454887,10.0,9.792429257615451,0.0,47.17634643689912,5
sliding_block,low,angle_deg,20.0,20.0,0.0,0.0,0.0,5
sliding_block,low,friction,0.20757074238454887,10.0,9.792429257615451,0.0,47.17634643689912,5
sliding_block,mid,angle_deg,25.0,25.0,0.0,0.0,0.0,5
sliding_block,mid,friction,0.20757074238454887,10.0,9.792429257615451,0.0,47.17634643689912,5
torricelli,large,k,0.016202065833479495,6.552163600921631,6.535961535088151,4.037302553514751,403.4029710731162,5
torricelli,medium,k,0.0128264315869546,9.939589691162109,9.926763259575154,0.694392537647713,773.930232651641,5
torricelli,small,k,0.009553717173659406,7.767525100708008,7.761792870403812,3.877945101664869,812.436944497393,5
